user_input,reference,reference_contexts
Quais são as informações principais sobre o Proaes e a seleção de bolsas permanência para estudantes negros na UFMS?,"O Edital PROAES/PROGRAD/PROPP/UFMS N° 9, de 27 de junho de 2024, torna pública a abertura de inscrições para a seleção de estudantes negros matriculados em cursos de graduação e de pós-graduação stricto sensu (mestrado e doutorado) da UFMS, para o ano de 2024. O objetivo é a concessão de Bolsas permanência, com início no primeiro semestre letivo de 2024. Haverá concessão de bolsas mensais de permanência para cursos previamente selecionados pelo Carrefour, visando estimular áreas do conhecimento com baixa representatividade da população negra. Estudantes beneficiados com bolsas da CAPES, FAPESP e CNPq não poderão acumular bolsas no presente programa.","['EDITAL PROAES/PROGRAD/PROPP/UFMS N° 9, DE 27 DE JUNHO DE 2024.\nSELEÇÃO PARA CONCESSÃO DE BOLSAS PERMANÊNCIA PARA\nESTUDANTES NEGROS DOS CURSOS DE GRADUAÇÃO E DE MESTRADO E\nDOUTORADO DA UFMS\nUFMS/CARREFOUR - 2024\nA FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO\nGROSSO DO SUL\n, por intermédio da Pró-Reitoria de Assuntos Estudantis –\nProaes, Pró-Reitoria de  Graduação – Prograd, e da Pró-Reitoria de Pós-\nGraduação - Propp, com apoio do Carrefour Comércio e Indústria LTDA, em\nfunção do Processo nº 23104.005154/2023-30, torna pública a abertura de\ninscrições para seleção de estudantes negros matriculados em cursos de\ngraduação e de pós-graduação \nstricto sensu\n (mestrado e doutorado) da\nUFMS, para o ano de 2024, para percepção de Auxílio Permanência por\nmeio do Grupo Carrefour - Instituição Gestora Sitawi, conforme as\ndisposições deste Edital.\n \n1.\n \nDISPOSIÇÕES PRELIMINARES\n1.1. O presente Edital tem como objetivo a seleção estudantes\nnegras e negros, de cursos de graduação e de mestrado e de doutorado da\nUFMS, para concessão de Bolsas permanência, com início no primeiro\nsemestre letivo de 2024.\n \n1.2. Haverá concessão de bolsas mensais de permanência,\nobjeto deste Edital, para os cursos de graduação e de mestrado e\ndoutorado previamente selecionados pelo Carrefour, com objetivo de\nestímulo nas áreas do conhecimento historicamente com baixa\nrepresentatividade da população negra, seguindo critérios detalhados nas\ncláusulas subsequentes.\n \n1.3. Os cursos foram escolhidos pela concedente Carrefour, de\nacordo com o especiﬁcado no item 1.2 do Edital, tendo a UFMS cadastrado\na totalidade dos cursos de graduação e de mestrado e de doutorado da\nUFMS.\n \n1.4. Estudantes beneﬁciados com bolsas da CAPES, FAPESP e\nCNPq não poderão acumular Bolsas no presente programa, sendo\nnecessária, caso aprovação neste processo, a escolha por uma das bolsas.\n \n2. CRONOGRAMA\n2.1. O presente Edital segue o cronograma abaixo:\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 1\n28/06/2024\nN° 8323\nPg. 302']"
O que é FAPESP e como isso afeta as bolsas de permanência?,"FAPESP é uma instituição que concede bolsas, e estudantes beneficiados com bolsas da FAPESP não poderão acumular Bolsas no presente programa de concessão de bolsas permanência, sendo necessária a escolha por uma das bolsas caso sejam aprovados neste processo.","['EDITAL PROAES/PROGRAD/PROPP/UFMS N° 9, DE 27 DE JUNHO DE 2024.\nSELEÇÃO PARA CONCESSÃO DE BOLSAS PERMANÊNCIA PARA\nESTUDANTES NEGROS DOS CURSOS DE GRADUAÇÃO E DE MESTRADO E\nDOUTORADO DA UFMS\nUFMS/CARREFOUR - 2024\nA FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO\nGROSSO DO SUL\n, por intermédio da Pró-Reitoria de Assuntos Estudantis –\nProaes, Pró-Reitoria de  Graduação – Prograd, e da Pró-Reitoria de Pós-\nGraduação - Propp, com apoio do Carrefour Comércio e Indústria LTDA, em\nfunção do Processo nº 23104.005154/2023-30, torna pública a abertura de\ninscrições para seleção de estudantes negros matriculados em cursos de\ngraduação e de pós-graduação \nstricto sensu\n (mestrado e doutorado) da\nUFMS, para o ano de 2024, para percepção de Auxílio Permanência por\nmeio do Grupo Carrefour - Instituição Gestora Sitawi, conforme as\ndisposições deste Edital.\n \n1.\n \nDISPOSIÇÕES PRELIMINARES\n1.1. O presente Edital tem como objetivo a seleção estudantes\nnegras e negros, de cursos de graduação e de mestrado e de doutorado da\nUFMS, para concessão de Bolsas permanência, com início no primeiro\nsemestre letivo de 2024.\n \n1.2. Haverá concessão de bolsas mensais de permanência,\nobjeto deste Edital, para os cursos de graduação e de mestrado e\ndoutorado previamente selecionados pelo Carrefour, com objetivo de\nestímulo nas áreas do conhecimento historicamente com baixa\nrepresentatividade da população negra, seguindo critérios detalhados nas\ncláusulas subsequentes.\n \n1.3. Os cursos foram escolhidos pela concedente Carrefour, de\nacordo com o especiﬁcado no item 1.2 do Edital, tendo a UFMS cadastrado\na totalidade dos cursos de graduação e de mestrado e de doutorado da\nUFMS.\n \n1.4. Estudantes beneﬁciados com bolsas da CAPES, FAPESP e\nCNPq não poderão acumular Bolsas no presente programa, sendo\nnecessária, caso aprovação neste processo, a escolha por uma das bolsas.\n \n2. CRONOGRAMA\n2.1. O presente Edital segue o cronograma abaixo:\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 1\n28/06/2024\nN° 8323\nPg. 302']"
Qual é a finalidade da FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL conforme descrito no edital PROAES/PROGRAD/PROPP?,"A FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL, por intermédio da Pró-Reitoria de Assuntos Estudantis – Proaes, Pró-Reitoria de Graduação – Prograd, e da Pró-Reitoria de Pós-Graduação - Propp, tem como objetivo a seleção de estudantes negros matriculados em cursos de graduação e de pós-graduação stricto sensu (mestrado e doutorado) para concessão de Bolsas permanência, com início no primeiro semestre letivo de 2024.","['EDITAL PROAES/PROGRAD/PROPP/UFMS N° 9, DE 27 DE JUNHO DE 2024.\nSELEÇÃO PARA CONCESSÃO DE BOLSAS PERMANÊNCIA PARA\nESTUDANTES NEGROS DOS CURSOS DE GRADUAÇÃO E DE MESTRADO E\nDOUTORADO DA UFMS\nUFMS/CARREFOUR - 2024\nA FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO\nGROSSO DO SUL\n, por intermédio da Pró-Reitoria de Assuntos Estudantis –\nProaes, Pró-Reitoria de  Graduação – Prograd, e da Pró-Reitoria de Pós-\nGraduação - Propp, com apoio do Carrefour Comércio e Indústria LTDA, em\nfunção do Processo nº 23104.005154/2023-30, torna pública a abertura de\ninscrições para seleção de estudantes negros matriculados em cursos de\ngraduação e de pós-graduação \nstricto sensu\n (mestrado e doutorado) da\nUFMS, para o ano de 2024, para percepção de Auxílio Permanência por\nmeio do Grupo Carrefour - Instituição Gestora Sitawi, conforme as\ndisposições deste Edital.\n \n1.\n \nDISPOSIÇÕES PRELIMINARES\n1.1. O presente Edital tem como objetivo a seleção estudantes\nnegras e negros, de cursos de graduação e de mestrado e de doutorado da\nUFMS, para concessão de Bolsas permanência, com início no primeiro\nsemestre letivo de 2024.\n \n1.2. Haverá concessão de bolsas mensais de permanência,\nobjeto deste Edital, para os cursos de graduação e de mestrado e\ndoutorado previamente selecionados pelo Carrefour, com objetivo de\nestímulo nas áreas do conhecimento historicamente com baixa\nrepresentatividade da população negra, seguindo critérios detalhados nas\ncláusulas subsequentes.\n \n1.3. Os cursos foram escolhidos pela concedente Carrefour, de\nacordo com o especiﬁcado no item 1.2 do Edital, tendo a UFMS cadastrado\na totalidade dos cursos de graduação e de mestrado e de doutorado da\nUFMS.\n \n1.4. Estudantes beneﬁciados com bolsas da CAPES, FAPESP e\nCNPq não poderão acumular Bolsas no presente programa, sendo\nnecessária, caso aprovação neste processo, a escolha por uma das bolsas.\n \n2. CRONOGRAMA\n2.1. O presente Edital segue o cronograma abaixo:\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 1\n28/06/2024\nN° 8323\nPg. 302']"
Quais são as informações sobre as vagas disponíveis para o curso de Administração?,"Ao todo, serão ofertadas seis vagas para o curso de Administração, distribuídas entre os cursos de graduação e de mestrado. Para graduação, há três vagas disponíveis, e para mestrado, também há três vagas. As informações detalhadas sobre as vagas estão no quadro apresentado no edital.","['Etapas\nPeríodo\nPublicação e Divulgação do Edital no\nportal da\nUFMS e Boletim Oficial\n28 de junho de 2024\nPeríodo de inscrição \non-line \nno Sigproj\nde 4 de julho a 10 de dezembro de 2024\nDivulgação do resultado preliminar\ndos\nhabilitados\naté 30 dias após a submissão\nPeríodo dos recursos administrativos\naté 3 dias após o resultado preliminar\nDivulgação dos resultados dos\nrecursos e resultado final dos\nestudantes contemplados\naté 5 dias após a interposição do recurso\nPrevisão para início da concessão da\nbolsa\napós assinatura do Termo de Compromisso\ndo estudante selecionado\n \n3. DAS VAGAS\n3.1. Ao todo serão ofertadas \nseis vagas\n distribuídas entre os\ncursos de graduação (três vagas) e de mestrado (três vagas), conforme\nquadro abaixo:\nCursos de Graduação\nNúmero de Bolsas\nAdministração - CPAN\nCR*\nCiências Biológicas - CPAN\n1 + CR*\nAdministração - CPTL\nCR*\nDireito - CPTL\nCR*\nCiência da Computação - Facom\n1 + CR*\nCiências Econômicas - Esan\nCR*\nDireito - Fadir\nCR*\nEngenharia da Computação - Facom\n1 + CR*\nEngenharia Civil - Faeng\nCR*\nOdontologia - Faodo\nCR*\nCursos de Pós-Graduação Stricto Sensu\nNúmero de Bolsas\nMestrado em Administração - Esan\nCR*\nMestrado em Ciências dos Materiais - Infi\n2 + CR*\nMestrado em Comunicação - Faalc\nCR*\nMestrado em Educação- Faed\nCR*\nMestrado em Enfermagem - Inisa\n1 + CR*\nMestrado em Estudos Culturais - CPAQ\nCR*\nMestrado Profissional em Filosofia - Fach\nCR*\nDoutorado em Administração - Esan\nCR*\nCR*: Cadastro Reserva\n \n4. DAS BOLSAS\n4.1. As Bolsas serão custeadas pelo Grupo Carrefour e serão:\na) para graduação, no valor  de R$ 1.000,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos);\nb) para mestrado , no valor de R$ 3.500,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos); e\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 2\n28/06/2024\nN° 8323\nPg. 303']"
Quais são as informações sobre as vagas para Ciências Econômicas?,"Para o curso de Ciências Econômicas, será ofertada uma vaga, conforme indicado no quadro de cursos de graduação.","['Etapas\nPeríodo\nPublicação e Divulgação do Edital no\nportal da\nUFMS e Boletim Oficial\n28 de junho de 2024\nPeríodo de inscrição \non-line \nno Sigproj\nde 4 de julho a 10 de dezembro de 2024\nDivulgação do resultado preliminar\ndos\nhabilitados\naté 30 dias após a submissão\nPeríodo dos recursos administrativos\naté 3 dias após o resultado preliminar\nDivulgação dos resultados dos\nrecursos e resultado final dos\nestudantes contemplados\naté 5 dias após a interposição do recurso\nPrevisão para início da concessão da\nbolsa\napós assinatura do Termo de Compromisso\ndo estudante selecionado\n \n3. DAS VAGAS\n3.1. Ao todo serão ofertadas \nseis vagas\n distribuídas entre os\ncursos de graduação (três vagas) e de mestrado (três vagas), conforme\nquadro abaixo:\nCursos de Graduação\nNúmero de Bolsas\nAdministração - CPAN\nCR*\nCiências Biológicas - CPAN\n1 + CR*\nAdministração - CPTL\nCR*\nDireito - CPTL\nCR*\nCiência da Computação - Facom\n1 + CR*\nCiências Econômicas - Esan\nCR*\nDireito - Fadir\nCR*\nEngenharia da Computação - Facom\n1 + CR*\nEngenharia Civil - Faeng\nCR*\nOdontologia - Faodo\nCR*\nCursos de Pós-Graduação Stricto Sensu\nNúmero de Bolsas\nMestrado em Administração - Esan\nCR*\nMestrado em Ciências dos Materiais - Infi\n2 + CR*\nMestrado em Comunicação - Faalc\nCR*\nMestrado em Educação- Faed\nCR*\nMestrado em Enfermagem - Inisa\n1 + CR*\nMestrado em Estudos Culturais - CPAQ\nCR*\nMestrado Profissional em Filosofia - Fach\nCR*\nDoutorado em Administração - Esan\nCR*\nCR*: Cadastro Reserva\n \n4. DAS BOLSAS\n4.1. As Bolsas serão custeadas pelo Grupo Carrefour e serão:\na) para graduação, no valor  de R$ 1.000,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos);\nb) para mestrado , no valor de R$ 3.500,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos); e\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 2\n28/06/2024\nN° 8323\nPg. 303']"
Quantas vagas tem para o curso de Direito e qual é o valor da bolsa para graduação?,"Para o curso de Direito, há vagas disponíveis, mas o número exato não é especificado, apenas mencionado como 'CR*' que significa Cadastro Reserva. O valor da bolsa para graduação é de R$ 1.000,00/mês, sujeito à dedução de eventuais impostos devidos.","['Etapas\nPeríodo\nPublicação e Divulgação do Edital no\nportal da\nUFMS e Boletim Oficial\n28 de junho de 2024\nPeríodo de inscrição \non-line \nno Sigproj\nde 4 de julho a 10 de dezembro de 2024\nDivulgação do resultado preliminar\ndos\nhabilitados\naté 30 dias após a submissão\nPeríodo dos recursos administrativos\naté 3 dias após o resultado preliminar\nDivulgação dos resultados dos\nrecursos e resultado final dos\nestudantes contemplados\naté 5 dias após a interposição do recurso\nPrevisão para início da concessão da\nbolsa\napós assinatura do Termo de Compromisso\ndo estudante selecionado\n \n3. DAS VAGAS\n3.1. Ao todo serão ofertadas \nseis vagas\n distribuídas entre os\ncursos de graduação (três vagas) e de mestrado (três vagas), conforme\nquadro abaixo:\nCursos de Graduação\nNúmero de Bolsas\nAdministração - CPAN\nCR*\nCiências Biológicas - CPAN\n1 + CR*\nAdministração - CPTL\nCR*\nDireito - CPTL\nCR*\nCiência da Computação - Facom\n1 + CR*\nCiências Econômicas - Esan\nCR*\nDireito - Fadir\nCR*\nEngenharia da Computação - Facom\n1 + CR*\nEngenharia Civil - Faeng\nCR*\nOdontologia - Faodo\nCR*\nCursos de Pós-Graduação Stricto Sensu\nNúmero de Bolsas\nMestrado em Administração - Esan\nCR*\nMestrado em Ciências dos Materiais - Infi\n2 + CR*\nMestrado em Comunicação - Faalc\nCR*\nMestrado em Educação- Faed\nCR*\nMestrado em Enfermagem - Inisa\n1 + CR*\nMestrado em Estudos Culturais - CPAQ\nCR*\nMestrado Profissional em Filosofia - Fach\nCR*\nDoutorado em Administração - Esan\nCR*\nCR*: Cadastro Reserva\n \n4. DAS BOLSAS\n4.1. As Bolsas serão custeadas pelo Grupo Carrefour e serão:\na) para graduação, no valor  de R$ 1.000,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos);\nb) para mestrado , no valor de R$ 3.500,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos); e\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 2\n28/06/2024\nN° 8323\nPg. 303']"
O que é o SIGProj e como os interessados devem se inscrever?,"O SIGProj é o Sistema de Informação de Projetos da UFMS, onde os interessados em concorrer às vagas oferecidas devem efetuar sua inscrição on-line, no endereço eletrônico sigproj.ufms.br, até o período definido no Cronograma do Edital. A inscrição requer o preenchimento da ficha de inscrição e a inclusão de documentos como autodeclaração, folha resumo do CadÚnico, cópia do RG e CPF, e comprovante de matrícula.","['c) Para doutorado, no valor de R$ 5.000,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos).\n \n5. DOS REQUISITOS PARA PARTICIPAÇÃO\n5.1. Para a inscrição, seguindo os requisitos necessários\ndefinidos pela Concedente, o candidato deve:\na) estar regularmente matriculado entre o primeiro e o\npenúltimo ano dos cursos de graduação ou  dos cursos de mestrado e\nde doutorado da UFMS;\nb) ter cursado o ensino médio em escola pública ou em\nescola privada com bolsa de estudo integral;\nc) ser oriundo de família com renda igual ou inferior a um\nsalário-mínimo e meio \nper capita\n;\nd) não ocupar cargo ou emprego público, ou estar vinculado\na qualquer empresa, que realize ou possam realizar auditorias e\natividades de fiscalização no Grupo Carrefour;\ne) estar habilitado em processo de heteroidentificação; e\nf) possuir o perﬁl do estudante atualizado, incluindo o\nupload do CadÚnico.\n \n5.2. O procedimento de heteroidentiﬁcação já realizado para\ningresso no curso de graduação ou de programa de pós-graduação da\nUFMS é válido para este fim, sendo predominante o resultado obtido.\n \n5.3. Caso o candidato não tenha sido submetido ao\nprocedimento indicado no item 5.2., por ter ingressado em ampla\nconcorrência ou em vaga reservada diversa, deverá, no ato da inscrição,\napresentar autodeclaração - foto e vídeo de acordo com orientações dos\nAnexos I e II, a qual será veriﬁcada por Banca de Veriﬁcação da Veracidade\nde Autodeclaração.\n \n6. DAS INSCRIÇÕES\n6.1. Os interessados em concorrer às vagas oferecidas pelo\npresente Edital deverão efetuar sua inscrição \non-line\n no Sistema de\nInformação de Projetos da UFMS (SIGProj), no endereço eletrônico\nsigproj.ufms.br\n, até o período deﬁnido no Cronograma deste Edital (item 2),\ncom o preenchimento da ﬁcha de inscrição, e inclusão dos seguintes\ndocumentos:\na) Autodeclaração, \nlink\n do vídeo e foto conforme disposto\nno Anexo I deste Edital, caso não tenha sido submetido ao processo de\nheteroidentificação na UFMS;\nb) Folha Resumo do CadÚnico;\nc) Cópia do RG e CPF;\nd) Comprovante de matrícula 2024.1 ou 2024.2, se iniciado\no semestre letivo; e\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 3\n28/06/2024\nN° 8323\nPg. 304']"
Quais são os requisitos para participação no Edital GAB/PROAES 4924243?,"Os requisitos para participação no Edital GAB/PROAES 4924243 incluem: estar regularmente matriculado entre o primeiro e o penúltimo ano dos cursos de graduação ou dos cursos de mestrado e doutorado da UFMS; ter cursado o ensino médio em escola pública ou em escola privada com bolsa de estudo integral; ser oriundo de família com renda igual ou inferior a um salário-mínimo e meio per capita; não ocupar cargo ou emprego público, ou estar vinculado a qualquer empresa que realize ou possa realizar auditorias e atividades de fiscalização no Grupo Carrefour; estar habilitado em processo de heteroidentificação; e possuir o perfil do estudante atualizado, incluindo o upload do CadÚnico.","['c) Para doutorado, no valor de R$ 5.000,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos).\n \n5. DOS REQUISITOS PARA PARTICIPAÇÃO\n5.1. Para a inscrição, seguindo os requisitos necessários\ndefinidos pela Concedente, o candidato deve:\na) estar regularmente matriculado entre o primeiro e o\npenúltimo ano dos cursos de graduação ou  dos cursos de mestrado e\nde doutorado da UFMS;\nb) ter cursado o ensino médio em escola pública ou em\nescola privada com bolsa de estudo integral;\nc) ser oriundo de família com renda igual ou inferior a um\nsalário-mínimo e meio \nper capita\n;\nd) não ocupar cargo ou emprego público, ou estar vinculado\na qualquer empresa, que realize ou possam realizar auditorias e\natividades de fiscalização no Grupo Carrefour;\ne) estar habilitado em processo de heteroidentificação; e\nf) possuir o perﬁl do estudante atualizado, incluindo o\nupload do CadÚnico.\n \n5.2. O procedimento de heteroidentiﬁcação já realizado para\ningresso no curso de graduação ou de programa de pós-graduação da\nUFMS é válido para este fim, sendo predominante o resultado obtido.\n \n5.3. Caso o candidato não tenha sido submetido ao\nprocedimento indicado no item 5.2., por ter ingressado em ampla\nconcorrência ou em vaga reservada diversa, deverá, no ato da inscrição,\napresentar autodeclaração - foto e vídeo de acordo com orientações dos\nAnexos I e II, a qual será veriﬁcada por Banca de Veriﬁcação da Veracidade\nde Autodeclaração.\n \n6. DAS INSCRIÇÕES\n6.1. Os interessados em concorrer às vagas oferecidas pelo\npresente Edital deverão efetuar sua inscrição \non-line\n no Sistema de\nInformação de Projetos da UFMS (SIGProj), no endereço eletrônico\nsigproj.ufms.br\n, até o período deﬁnido no Cronograma deste Edital (item 2),\ncom o preenchimento da ﬁcha de inscrição, e inclusão dos seguintes\ndocumentos:\na) Autodeclaração, \nlink\n do vídeo e foto conforme disposto\nno Anexo I deste Edital, caso não tenha sido submetido ao processo de\nheteroidentificação na UFMS;\nb) Folha Resumo do CadÚnico;\nc) Cópia do RG e CPF;\nd) Comprovante de matrícula 2024.1 ou 2024.2, se iniciado\no semestre letivo; e\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 3\n28/06/2024\nN° 8323\nPg. 304']"
Quais são os requisitos para participar do Edital GAB/PROAES 4924243?,"Para a inscrição no Edital GAB/PROAES 4924243, o candidato deve: estar regularmente matriculado entre o primeiro e o penúltimo ano dos cursos de graduação ou dos cursos de mestrado e de doutorado da UFMS; ter cursado o ensino médio em escola pública ou em escola privada com bolsa de estudo integral; ser oriundo de família com renda igual ou inferior a um salário-mínimo e meio per capita; não ocupar cargo ou emprego público, ou estar vinculado a qualquer empresa que realize ou possa realizar auditorias e atividades de fiscalização no Grupo Carrefour; estar habilitado em processo de heteroidentificação; e possuir o perfil do estudante atualizado, incluindo o upload do CadÚnico.","['c) Para doutorado, no valor de R$ 5.000,00/mês (valor\nbruto, sujeito à dedução de eventuais impostos devidos).\n \n5. DOS REQUISITOS PARA PARTICIPAÇÃO\n5.1. Para a inscrição, seguindo os requisitos necessários\ndefinidos pela Concedente, o candidato deve:\na) estar regularmente matriculado entre o primeiro e o\npenúltimo ano dos cursos de graduação ou  dos cursos de mestrado e\nde doutorado da UFMS;\nb) ter cursado o ensino médio em escola pública ou em\nescola privada com bolsa de estudo integral;\nc) ser oriundo de família com renda igual ou inferior a um\nsalário-mínimo e meio \nper capita\n;\nd) não ocupar cargo ou emprego público, ou estar vinculado\na qualquer empresa, que realize ou possam realizar auditorias e\natividades de fiscalização no Grupo Carrefour;\ne) estar habilitado em processo de heteroidentificação; e\nf) possuir o perﬁl do estudante atualizado, incluindo o\nupload do CadÚnico.\n \n5.2. O procedimento de heteroidentiﬁcação já realizado para\ningresso no curso de graduação ou de programa de pós-graduação da\nUFMS é válido para este fim, sendo predominante o resultado obtido.\n \n5.3. Caso o candidato não tenha sido submetido ao\nprocedimento indicado no item 5.2., por ter ingressado em ampla\nconcorrência ou em vaga reservada diversa, deverá, no ato da inscrição,\napresentar autodeclaração - foto e vídeo de acordo com orientações dos\nAnexos I e II, a qual será veriﬁcada por Banca de Veriﬁcação da Veracidade\nde Autodeclaração.\n \n6. DAS INSCRIÇÕES\n6.1. Os interessados em concorrer às vagas oferecidas pelo\npresente Edital deverão efetuar sua inscrição \non-line\n no Sistema de\nInformação de Projetos da UFMS (SIGProj), no endereço eletrônico\nsigproj.ufms.br\n, até o período deﬁnido no Cronograma deste Edital (item 2),\ncom o preenchimento da ﬁcha de inscrição, e inclusão dos seguintes\ndocumentos:\na) Autodeclaração, \nlink\n do vídeo e foto conforme disposto\nno Anexo I deste Edital, caso não tenha sido submetido ao processo de\nheteroidentificação na UFMS;\nb) Folha Resumo do CadÚnico;\nc) Cópia do RG e CPF;\nd) Comprovante de matrícula 2024.1 ou 2024.2, se iniciado\no semestre letivo; e\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 3\n28/06/2024\nN° 8323\nPg. 304']"
Qual é a importância do Siscad no processo seletivo para a graduação?,"O Siscad é importante no processo seletivo para a graduação porque a pontuação da renda per capita familiar, que é um dos critérios de classificação dos inscritos, deve estar registrada no perfil do estudante no Siscad. Isso garante que a classificação siga os indicadores de renda per capita, favorecendo candidatos com menor renda.","['e) Comprovante ou Certiﬁcado de Conclusão do Ensino\nMédio em escola pública ou privada com bolsa de estudo integral.\n \n6.2. O correto preenchimento da Ficha de Inscrição e a inclusão\ndos documentos são de inteira responsabilidade do estudante.\n \n6.3. A inscrição implicará no seu declarado conhecimento e\ntácita aceitação das regras, exigências e condições estabelecidas neste\nEdital.\n \n7. DO PROCESSO SELETIVO, CLASSIFICAÇÃO, CRITÉRIOS\nDE DESEMPATE, RESULTADO E RECURSO\n7.1. Os inscritos serão classiﬁcados de acordo com distribuição\nde vagas descrita no item 3.1 deste Edital.\n \n7.2. Os critérios para classiﬁcação dos inscritos seguirão os\nindicadores de renda \nper capita\n, de acordo com a pontuação do quadro\ndo item 7.3, tendo maior pontuação os candidatos com menor renda \nper\ncapita\n.\n \n7.3. Renda \nPer Capita\n (RPC): A pontuação, conforme quadro\nabaixo, corresponderá à renda \nper capita\n familiar constante na folha\nresumo do Cadastro Único (CadÚnico) do Governo Federal, que deverá\nestar registrada no perﬁl do estudante no Siscad, para graduação, e no\nSigpós, para pós-graduação.\n \nPontuação por Renda \nPer Capita\n (RPC):\nRenda Per Capita\n(RPC)\nPontuação\naté meio salário mínimo\nvigente\n10\nentre meio e um salário\nmínimo vigente\n5\nentre um e um e meio\nsalário mínimo vigente\n0\n \n7.4. Serão critérios utilizados em caso de empate na pontuação:\na) menor renda familiar;\nb) notas  de ingresso (Enem, Vestibular, Classiﬁcação ﬁnal\nno vestibular, Doutorado, Mestrado e etc.); e\nc) maior Índice de Rendimento Acadêmico.\n \n7.5. A Proaes será responsável por homologar o resultado\nfinal, por meio de Edital.\nEdital GAB/PROAES 4924243         SEI 23104.008515/2024-71 / pg. 4\n28/06/2024\nN° 8323\nPg. 305']"
