user_input,reference,reference_contexts
Quem é Cristiano Costa Argemon Vieira e qual é o seu papel na Resolução nº 430-COGRAD/UFMS?,"Cristiano Costa Argemon Vieira é o Presidente que assina a Resolução nº 430-COGRAD/UFMS, datada de 16 de dezembro de 2021, que aprova o Regulamento dos Cursos de Graduação da Fundação Universidade Federal de Mato Grosso do Sul.","['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 1/25\nRESOLUÇÃO Nº 430-COGRAD/UFMS, DE 16 DE DEZEMBRO DE 2021.\nAprova o Regulamento dos Cursos de Graduação da Fundação\nUniversidade Federal de Mato Grosso do Sul. \n                                                                  \nO CONSELHO DE GRADUAÇÃO da Fundação Universidade Federal de Mato\nGrosso do Sul, no uso da atribuição que lhe confere o art. 4º, caput, incisos II e VIII, do\nRegimento Geral da UFMS,  e considerando o con\x00do no Processo nº 23104.016329/2021-62,\nresolve:\n \nArt. 1º  Fica aprovado o Regulamento dos Cursos de Graduação da Fundação\nUniversidade Federal de Mato Grosso do Sul (UFMS), na forma do Anexo a esta Resolução.\n \nArt. 2º  Fica revogada a Resolução nº 550, de 20 de novembro de 2018.\n \nArt. 3º  Esta Resolução entra em vigor na data de sua publicação. \n \n \n                                       CRISTIANO COSTA ARGEMON VIEIRA, \n                                       Presidente. \n \n \nANEXO - REGULAMENTO DOS CURSOS DE GRADUAÇÃO DA FUNDAÇÃO UNIVERSIDADE\nFEDERAL DE MATO GROSSO DO SUL\n(Resolução nº 430 - Cograd/UFMS, de 16 de dezembro de 2021.)\n \nCAPÍTULO I\nDISPOSIÇÕES PRELIMINARES\n \nArt. 1º Este Regulamento deﬁne os princípios metodológicos e os\nprocedimentos acadêmicos e administra\x00vos para nortear a organização, a estrutura e o\nfuncionamento dos cursos de graduação da Fundação Universidade Federal de Mato Grosso\ndo Sul (UFMS).\n \nCAPÍTULO II\nDOS CURSOS DE GRADUAÇÃO\n27/12/2021\nN° 7697\nPg. 18']"
Quem é Cristiano Costa Argemon Vieira e qual é o seu papel na Resolução nº 430-COGRAD/UFMS?,"Cristiano Costa Argemon Vieira é o Presidente que assinou a Resolução nº 430-COGRAD/UFMS, datada de 16 de dezembro de 2021, que aprova o Regulamento dos Cursos de Graduação da Fundação Universidade Federal de Mato Grosso do Sul.","['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 1/25\nRESOLUÇÃO Nº 430-COGRAD/UFMS, DE 16 DE DEZEMBRO DE 2021.\nAprova o Regulamento dos Cursos de Graduação da Fundação\nUniversidade Federal de Mato Grosso do Sul. \n                                                                  \nO CONSELHO DE GRADUAÇÃO da Fundação Universidade Federal de Mato\nGrosso do Sul, no uso da atribuição que lhe confere o art. 4º, caput, incisos II e VIII, do\nRegimento Geral da UFMS,  e considerando o con\x00do no Processo nº 23104.016329/2021-62,\nresolve:\n \nArt. 1º  Fica aprovado o Regulamento dos Cursos de Graduação da Fundação\nUniversidade Federal de Mato Grosso do Sul (UFMS), na forma do Anexo a esta Resolução.\n \nArt. 2º  Fica revogada a Resolução nº 550, de 20 de novembro de 2018.\n \nArt. 3º  Esta Resolução entra em vigor na data de sua publicação. \n \n \n                                       CRISTIANO COSTA ARGEMON VIEIRA, \n                                       Presidente. \n \n \nANEXO - REGULAMENTO DOS CURSOS DE GRADUAÇÃO DA FUNDAÇÃO UNIVERSIDADE\nFEDERAL DE MATO GROSSO DO SUL\n(Resolução nº 430 - Cograd/UFMS, de 16 de dezembro de 2021.)\n \nCAPÍTULO I\nDISPOSIÇÕES PRELIMINARES\n \nArt. 1º Este Regulamento deﬁne os princípios metodológicos e os\nprocedimentos acadêmicos e administra\x00vos para nortear a organização, a estrutura e o\nfuncionamento dos cursos de graduação da Fundação Universidade Federal de Mato Grosso\ndo Sul (UFMS).\n \nCAPÍTULO II\nDOS CURSOS DE GRADUAÇÃO\n27/12/2021\nN° 7697\nPg. 18']"
Quais são as diretrizes do Ministério da Educação (MEC) em relação aos cursos de graduação oferecidos pela UFMS?,"As diretrizes do Ministério da Educação (MEC) em relação aos cursos de graduação oferecidos pela UFMS incluem a possibilidade de oferta nas modalidades presencial e a distância, com a regulamentação permitindo que os cursos presenciais contem com atividades de Educação a Distância (EaD). Além disso, o Projeto Pedagógico de Curso (PPC) deve estar em conformidade com as Diretrizes Curriculares Nacionais e com os normativos do Conselho Nacional de Educação (CNE), do MEC e da UFMS.","['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 2/25\n \nArt. 2º  Os Cursos de Graduação poderão ser ofertados nas modalidades\npresencial e a distância.\n \nParágrafo único. Os cursos de graduação presenciais poderão contar com\na\x00vidades de Educação a Distância (EaD), de acordo com regulamentação do Ministério da\nEducação (MEC).\n \nArt. 3º Os processos de ensino e de aprendizagem podem ocorrer por meio de\na\x00vidades presenciais e a distância suportadas pelo Ambiente Virtual de Aprendizagem\n(AVA/UFMS) e outras Tecnologias da Informação e da Comunicação (TICs), de acordo com as\nespeciﬁcidades de cada curso.\n \nCAPÍTULO III\nDO PROJETO PEDAGÓGICO DE CURSO\n \nArt. 4º  O Projeto Pedagógico de Curso (PPC) é um instrumento polí\x00co,\nﬁlosóﬁco e teórico-metodológico que norteia as prá\x00cas pedagógicas no curso, considerando\nsua trajetória histórica, inserção regional, vocação, missão, visão e obje\x00vos gerais e\nespecíﬁcos, em conformidade com as Diretrizes Curriculares Nacionais e com os norma\x00vos\ndo Conselho Nacional de Educação (CNE), do MEC e da UFMS, com ênfase no Plano de\nDesenvolvimento Ins\x00tucional (PDI) integrado ao Projeto Pedagógico Ins\x00tucional (PPI) da\nUFMS.\n \nArt. 5º As normas de elaboração do Projeto Pedagógico de Curso (PPC) serão\nestabelecidas por meio de ato norma\x00vo da Pró-Reitoria de Graduação da UFMS.\n \nArt. 6º Os Cursos de Graduação homônimos devem possuir equivalência entre\ncomponentes curriculares disciplinares obrigatórias de, no mínimo, cinquenta por cento da\ncarga horária mínima do curso deﬁnida pelo Conselho Nacional de Educação.\n \nArt. 7º  A carga horária total do Curso de Graduação não poderá exceder em\ndez por cento a carga horária mínima ﬁxada pelo Conselho Nacional de Educação para o\nrespec\x00vo curso.\n \nArt. 8º A Estrutura Curricular dos Cursos de Graduação da UFMS é deﬁnida no\nProjeto Pedagógico de Curso, sendo composta por Componentes Curriculares Disciplinares e\nNão Disciplinares, que correspondem à carga horária total do curso que deverá ser cursada\npelo estudante de graduação.\n \n§ 1º As Componentes Curriculares Disciplinares são cumpridas na forma de\ndisciplinas.\n \n27/12/2021\nN° 7697\nPg. 19']"
O que o Ministério da Educação diz sobre os cursos de graduação e suas modalidades?,"O Ministério da Educação (MEC) regulamenta que os Cursos de Graduação podem ser ofertados nas modalidades presencial e a distância. Além disso, os cursos presenciais podem incluir atividades de Educação a Distância (EaD), conforme as regulamentações do MEC.","['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 2/25\n \nArt. 2º  Os Cursos de Graduação poderão ser ofertados nas modalidades\npresencial e a distância.\n \nParágrafo único. Os cursos de graduação presenciais poderão contar com\na\x00vidades de Educação a Distância (EaD), de acordo com regulamentação do Ministério da\nEducação (MEC).\n \nArt. 3º Os processos de ensino e de aprendizagem podem ocorrer por meio de\na\x00vidades presenciais e a distância suportadas pelo Ambiente Virtual de Aprendizagem\n(AVA/UFMS) e outras Tecnologias da Informação e da Comunicação (TICs), de acordo com as\nespeciﬁcidades de cada curso.\n \nCAPÍTULO III\nDO PROJETO PEDAGÓGICO DE CURSO\n \nArt. 4º  O Projeto Pedagógico de Curso (PPC) é um instrumento polí\x00co,\nﬁlosóﬁco e teórico-metodológico que norteia as prá\x00cas pedagógicas no curso, considerando\nsua trajetória histórica, inserção regional, vocação, missão, visão e obje\x00vos gerais e\nespecíﬁcos, em conformidade com as Diretrizes Curriculares Nacionais e com os norma\x00vos\ndo Conselho Nacional de Educação (CNE), do MEC e da UFMS, com ênfase no Plano de\nDesenvolvimento Ins\x00tucional (PDI) integrado ao Projeto Pedagógico Ins\x00tucional (PPI) da\nUFMS.\n \nArt. 5º As normas de elaboração do Projeto Pedagógico de Curso (PPC) serão\nestabelecidas por meio de ato norma\x00vo da Pró-Reitoria de Graduação da UFMS.\n \nArt. 6º Os Cursos de Graduação homônimos devem possuir equivalência entre\ncomponentes curriculares disciplinares obrigatórias de, no mínimo, cinquenta por cento da\ncarga horária mínima do curso deﬁnida pelo Conselho Nacional de Educação.\n \nArt. 7º  A carga horária total do Curso de Graduação não poderá exceder em\ndez por cento a carga horária mínima ﬁxada pelo Conselho Nacional de Educação para o\nrespec\x00vo curso.\n \nArt. 8º A Estrutura Curricular dos Cursos de Graduação da UFMS é deﬁnida no\nProjeto Pedagógico de Curso, sendo composta por Componentes Curriculares Disciplinares e\nNão Disciplinares, que correspondem à carga horária total do curso que deverá ser cursada\npelo estudante de graduação.\n \n§ 1º As Componentes Curriculares Disciplinares são cumpridas na forma de\ndisciplinas.\n \n27/12/2021\nN° 7697\nPg. 19']"
O que são os Componentes Curriculares e quais são os tipos mencionados?,Os Componentes Curriculares Não Disciplinares são atividades desenvolvidas sob a forma de: I - Atividades Complementares; II - Trabalho de Conclusão de Curso; III - Atividades Orientadas de Ensino; IV - Atividades de Extensão; e V - Estágio obrigatório.,"['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 3/25\n§ 2º As Componentes Curriculares Não Disciplinares, que terão regulamento\núnico especíﬁco aprovado pelo Conselho de Graduação, são a\x00vidades desenvolvidas sob a\nforma de:\nI - A\x00vidades Complementares;\nII - Trabalho de Conclusão de Curso;\nIII - A\x00vidades Orientadas de Ensino;\nIV - A\x00vidades de Extensão; e\nV - Estágio obrigatório.\n \nArt. 9º As Componentes Curriculares Não Disciplinares admitem tratamento\ndiferenciado quanto ao turno, ao período de realização das a\x00vidades e aos processos de\nveriﬁcação da aprendizagem e de aproveitamento, de acordo com regulamentação aprovada\npelo Conselho de Graduação.\n \nArt. 10. O Estágio é uma a\x00vidade de natureza teórico-prá\x00ca, que visa a\npreparação do estudante para a a\x00vidade proﬁssional, integrando os conhecimentos técnicos,\nprá\x00cos e cien\x00ﬁcos.\n \nArt. 11. O Estágio poderá ser Obrigatório ou Não Obrigatório, conforme as\ndiretrizes curriculares e o Projeto Pedagógico de Curso (PPC).\n \n§ 1º O Estágio Obrigatório compõe a carga horária para a integralização do\ncurso, enquanto o Estágio Não Obrigatório é opcional.\n \n§ 2º O Estágio Obrigatório e o Estágio Não Obrigatório terão Regulamento\núnico aprovado pelo Conselho de Graduação.\n \nArt. 12. O Estágio Obrigatório poderá ser deﬁnido como Componente\nCurricular Disciplinar ou Componente Curricular Não Disciplinar, conforme o Projeto\nPedagógico de Curso.\n \nCAPITULO IV\nDOS PERÍODOS LETIVOS\n \nArt. 13. O ano le\x00vo, independente do ano civil, é composto pelo período le\x00vo\nde verão, primeiro semestre, período le\x00vo de inverno e segundo semestre, totalizando, no\nmínimo, duzentos dias le\x00vos.\n \nCAPÍTULO V\nDO HORÁRIO DE AULA\n \n27/12/2021\nN° 7697\nPg. 20']"
"Qual é a definição e a importância do Estágio na formação acadêmica de um estudante, conforme descrito nos documentos da universidade?","O Estágio é uma atividade de natureza teórico-prática, que visa a preparação do estudante para a atividade profissional, integrando os conhecimentos técnicos, práticos e científicos. Ele pode ser classificado como Obrigatório ou Não Obrigatório, dependendo das diretrizes curriculares e do Projeto Pedagógico de Curso (PPC). O Estágio Obrigatório compõe a carga horária para a integralização do curso, enquanto o Estágio Não Obrigatório é opcional. Ambos os tipos de estágio terão Regulamento único aprovado pelo Conselho de Graduação.","['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 3/25\n§ 2º As Componentes Curriculares Não Disciplinares, que terão regulamento\núnico especíﬁco aprovado pelo Conselho de Graduação, são a\x00vidades desenvolvidas sob a\nforma de:\nI - A\x00vidades Complementares;\nII - Trabalho de Conclusão de Curso;\nIII - A\x00vidades Orientadas de Ensino;\nIV - A\x00vidades de Extensão; e\nV - Estágio obrigatório.\n \nArt. 9º As Componentes Curriculares Não Disciplinares admitem tratamento\ndiferenciado quanto ao turno, ao período de realização das a\x00vidades e aos processos de\nveriﬁcação da aprendizagem e de aproveitamento, de acordo com regulamentação aprovada\npelo Conselho de Graduação.\n \nArt. 10. O Estágio é uma a\x00vidade de natureza teórico-prá\x00ca, que visa a\npreparação do estudante para a a\x00vidade proﬁssional, integrando os conhecimentos técnicos,\nprá\x00cos e cien\x00ﬁcos.\n \nArt. 11. O Estágio poderá ser Obrigatório ou Não Obrigatório, conforme as\ndiretrizes curriculares e o Projeto Pedagógico de Curso (PPC).\n \n§ 1º O Estágio Obrigatório compõe a carga horária para a integralização do\ncurso, enquanto o Estágio Não Obrigatório é opcional.\n \n§ 2º O Estágio Obrigatório e o Estágio Não Obrigatório terão Regulamento\núnico aprovado pelo Conselho de Graduação.\n \nArt. 12. O Estágio Obrigatório poderá ser deﬁnido como Componente\nCurricular Disciplinar ou Componente Curricular Não Disciplinar, conforme o Projeto\nPedagógico de Curso.\n \nCAPITULO IV\nDOS PERÍODOS LETIVOS\n \nArt. 13. O ano le\x00vo, independente do ano civil, é composto pelo período le\x00vo\nde verão, primeiro semestre, período le\x00vo de inverno e segundo semestre, totalizando, no\nmínimo, duzentos dias le\x00vos.\n \nCAPÍTULO V\nDO HORÁRIO DE AULA\n \n27/12/2021\nN° 7697\nPg. 20']"
O que é o Projeto Pedagógico de Curso mencionado no documento?,"O Projeto Pedagógico de Curso é mencionado no contexto das atividades presenciais que ocorrerão em três turnos, observando o disposto nesse projeto e considerando os intervalos para deslocamento e descanso para os estudantes e professores.","['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 4/25\nArt. 14. As a\x00vidades presenciais ocorrerão em três turnos, observado o\ndisposto no Projeto Pedagógico de Curso, e considerando os intervalos para deslocamento e\ndescanso para os estudantes e professores, conforme segue:\nI - matu\x00no: compreende as aulas realizadas no horário das 7h15min às\n12h25min, de segunda-feira a sábado, com intervalo das 9h15min às 9h25min;\nII - vesper\x00no: compreende as aulas realizadas no horário das 13h15min às\n18h25min, de segunda-feira a sábado, com intervalo das 15h15min às 15h25min; e\nIII - noturno: compreende as aulas realizadas no horário das 18h30min às\n22h40min, de segunda a sexta-feira com intervalo das 20h30min às 20h40min, e aos sábados\nnos turnos matu\x00no e vesper\x00no.\n \n§ 1º  O intervalo poderá não ser cumprido em função das aulas prá\x00cas.\n \n§ 2º  No período noturno deverá ser respeitada a especiﬁcidade de cada\nUnidade da UFMS.\n \nArt. 15. Os cursos que têm funcionamento em mais de um turno serão\nconsiderados de turno integral.\n \n§ 1º Nos cursos de turno integral deverá haver um intervalo de pelo menos\numa hora entre o término das aulas de um turno e o início das aulas do outro turno.\n \n§ 2º O horário das aulas deverá ser concentrado, preferencialmente, em um\nturno a ﬁm de viabilizar aos estudantes a possibilidade de realizar a\x00vidades\nextracurriculares, cursar disciplinas opta\x00vas ou de reoferta.\n \nArt. 16. Os locais e os horários de aula deverão estar disponíveis nos portais da\nUnidade de vínculo do curso e amplamente divulgados aos estudantes, com pelo menos duas\nsemanas antes do início do período de matrículas.\n \nArt. 17. As a\x00vidades por meio de Tecnologias da Informação e da\nComunicação deverão ser, preferencialmente, assíncronas, e não estarão vinculadas aos\nhorários, locais e dias de aula, permi\x00ndo ao estudante, em sua autonomia, acompanhar o\ncurso de graduação.\n \nCAPÍTULO VI\nDAS FORMAS DE INGRESSO NOS CURSOS DE GRADUAÇÃO\n \nArt. 18. O ingresso nos Cursos de Graduação da UFMS ocorre por meio de:\nI - Sistema de Seleção Uniﬁcada (Sisu);\nII - Ves\x00bular;\nIII - Programa de Avaliação Seriada Sele\x00va (Passe);\n27/12/2021\nN° 7697\nPg. 21']"
"Quais são as formas de ingresso nos cursos de graduação mencionadas no documento, incluindo o Passe?",O ingresso nos Cursos de Graduação da UFMS ocorre por meio de: I - Sistema de Seleção Unificada (Sisu); II - Vestibular; III - Programa de Avaliação Seriada Seleva (Passe).,"['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 4/25\nArt. 14. As a\x00vidades presenciais ocorrerão em três turnos, observado o\ndisposto no Projeto Pedagógico de Curso, e considerando os intervalos para deslocamento e\ndescanso para os estudantes e professores, conforme segue:\nI - matu\x00no: compreende as aulas realizadas no horário das 7h15min às\n12h25min, de segunda-feira a sábado, com intervalo das 9h15min às 9h25min;\nII - vesper\x00no: compreende as aulas realizadas no horário das 13h15min às\n18h25min, de segunda-feira a sábado, com intervalo das 15h15min às 15h25min; e\nIII - noturno: compreende as aulas realizadas no horário das 18h30min às\n22h40min, de segunda a sexta-feira com intervalo das 20h30min às 20h40min, e aos sábados\nnos turnos matu\x00no e vesper\x00no.\n \n§ 1º  O intervalo poderá não ser cumprido em função das aulas prá\x00cas.\n \n§ 2º  No período noturno deverá ser respeitada a especiﬁcidade de cada\nUnidade da UFMS.\n \nArt. 15. Os cursos que têm funcionamento em mais de um turno serão\nconsiderados de turno integral.\n \n§ 1º Nos cursos de turno integral deverá haver um intervalo de pelo menos\numa hora entre o término das aulas de um turno e o início das aulas do outro turno.\n \n§ 2º O horário das aulas deverá ser concentrado, preferencialmente, em um\nturno a ﬁm de viabilizar aos estudantes a possibilidade de realizar a\x00vidades\nextracurriculares, cursar disciplinas opta\x00vas ou de reoferta.\n \nArt. 16. Os locais e os horários de aula deverão estar disponíveis nos portais da\nUnidade de vínculo do curso e amplamente divulgados aos estudantes, com pelo menos duas\nsemanas antes do início do período de matrículas.\n \nArt. 17. As a\x00vidades por meio de Tecnologias da Informação e da\nComunicação deverão ser, preferencialmente, assíncronas, e não estarão vinculadas aos\nhorários, locais e dias de aula, permi\x00ndo ao estudante, em sua autonomia, acompanhar o\ncurso de graduação.\n \nCAPÍTULO VI\nDAS FORMAS DE INGRESSO NOS CURSOS DE GRADUAÇÃO\n \nArt. 18. O ingresso nos Cursos de Graduação da UFMS ocorre por meio de:\nI - Sistema de Seleção Uniﬁcada (Sisu);\nII - Ves\x00bular;\nIII - Programa de Avaliação Seriada Sele\x00va (Passe);\n27/12/2021\nN° 7697\nPg. 21']"
O que é considerado estudante regular na UFMS?,É considerado estudante regular aquele matriculado em curso de graduação com possibilidade de diplomação pela UFMS.,"['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 5/25\nIV - seleção para Vagas Remanescentes;\nV - portadores de visto de refugiado, visto humanitário ou visto de reunião\nfamiliar;\nVI - reingresso;\nVII - portadores de diploma de Curso de Graduação;\nVIII - transferência externa;\nIX - movimentação interna de estudantes regulares da UFMS;\nX - permuta interna entre estudantes regulares da UFMS; e\nXI - convênios ou outros instrumentos jurídicos de mesma natureza, ﬁrmados\ncom outros países e/ou órgãos do Governo Federal;\nXII - matrícula cortesia;\nXIII - transferência compulsória;\nXIV - mobilidade acadêmica; e\nXV - complementação de estudos no processo de revalidação de diploma.\n \n§ 1º É considerado estudante regular aquele matriculado em curso de\ngraduação com possibilidade de diplomação pela UFMS.\n \n§ 2º O ingresso a que se referem os incisos I ao V ocorre por meio de processos\nsele\x00vos para os candidatos que tenham concluído o ensino médio ou equivalente, conforme\nEdital especíﬁco.\n \n§ 3º O Reingresso ao Curso de Graduação ocorre por meio de processo\nsele\x00vo, conforme Edital especíﬁco, para o estudante excluído por não renovação do vínculo,\nsolicitação ou jubilamento, condicionado à existência de vagas, desde que:\nI - não tenha matrícula regular a\x00va em nenhum Curso de Graduação da UFMS;\ne\nII - seja para o mesmo curso.\n \n§ 4º O ingresso para portadores de diploma de Curso de Graduação ocorre por\nmeio de processo sele\x00vo, conforme Edital especíﬁco, para candidatos portadores de diploma\nde curso de nível superior de graduação reconhecido pelo Ministério da\nEducação, condicionado à existência de vagas, ou na condição de estudante especial.\n \n§ 5º O ingresso por transferência externa ocorre por meio de processo sele\x00vo,\nconforme Edital especíﬁco, para estudantes regulares de outras ins\x00tuições nacionais de\nEnsino Superior, para cursos da mesma área de conhecimento, condicionado à existência de\nvagas.\n \n§ 6º O ingresso por movimentação interna ocorre por meio de processo\nsele\x00vo, conforme Edital especíﬁco, para estudantes regulares da UFMS para mudança de\ncurso na mesma área de conhecimento, condicionado à existência de vagas.\n27/12/2021\nN° 7697\nPg. 22']"
Quais são as formas de ingresso na UFMS mencionadas no documento?,"As formas de ingresso na UFMS mencionadas no documento incluem: seleção para Vagas Remanescentes, portadores de visto de refugiado, visto humanitário ou visto de reunião familiar, reingresso, portadores de diploma de Curso de Graduação, transferência externa, movimentação interna de estudantes regulares da UFMS, permuta interna entre estudantes regulares da UFMS, convênios ou outros instrumentos jurídicos de mesma natureza, matrícula cortesia, transferência compulsória, mobilidade acadêmica, e complementação de estudos no processo de revalidação de diploma.","['26/12/2021 22:12 SEI/UFMS - 3003041 - Resolução\nhttps://sei.ufms.br/sei/controlador.php?acao=documento_imprimir_web&acao_origem=arvore_visualizar&id_documento=3577703&infra_sistem… 5/25\nIV - seleção para Vagas Remanescentes;\nV - portadores de visto de refugiado, visto humanitário ou visto de reunião\nfamiliar;\nVI - reingresso;\nVII - portadores de diploma de Curso de Graduação;\nVIII - transferência externa;\nIX - movimentação interna de estudantes regulares da UFMS;\nX - permuta interna entre estudantes regulares da UFMS; e\nXI - convênios ou outros instrumentos jurídicos de mesma natureza, ﬁrmados\ncom outros países e/ou órgãos do Governo Federal;\nXII - matrícula cortesia;\nXIII - transferência compulsória;\nXIV - mobilidade acadêmica; e\nXV - complementação de estudos no processo de revalidação de diploma.\n \n§ 1º É considerado estudante regular aquele matriculado em curso de\ngraduação com possibilidade de diplomação pela UFMS.\n \n§ 2º O ingresso a que se referem os incisos I ao V ocorre por meio de processos\nsele\x00vos para os candidatos que tenham concluído o ensino médio ou equivalente, conforme\nEdital especíﬁco.\n \n§ 3º O Reingresso ao Curso de Graduação ocorre por meio de processo\nsele\x00vo, conforme Edital especíﬁco, para o estudante excluído por não renovação do vínculo,\nsolicitação ou jubilamento, condicionado à existência de vagas, desde que:\nI - não tenha matrícula regular a\x00va em nenhum Curso de Graduação da UFMS;\ne\nII - seja para o mesmo curso.\n \n§ 4º O ingresso para portadores de diploma de Curso de Graduação ocorre por\nmeio de processo sele\x00vo, conforme Edital especíﬁco, para candidatos portadores de diploma\nde curso de nível superior de graduação reconhecido pelo Ministério da\nEducação, condicionado à existência de vagas, ou na condição de estudante especial.\n \n§ 5º O ingresso por transferência externa ocorre por meio de processo sele\x00vo,\nconforme Edital especíﬁco, para estudantes regulares de outras ins\x00tuições nacionais de\nEnsino Superior, para cursos da mesma área de conhecimento, condicionado à existência de\nvagas.\n \n§ 6º O ingresso por movimentação interna ocorre por meio de processo\nsele\x00vo, conforme Edital especíﬁco, para estudantes regulares da UFMS para mudança de\ncurso na mesma área de conhecimento, condicionado à existência de vagas.\n27/12/2021\nN° 7697\nPg. 22']"
